sample_id	context	U_proportion	observed	adjust
GSM1085338	CG	0.715177808467481	0.284822191532519	0.230532127865537
GSM1085339	CG	0.736927909891434	0.263072090108567	0.208782026441585
GSM2099113	CG	0.747642482343983	0.252357517656017	0.198067453989035
GSM2099114	CG	0.740993960025914	0.259006039974086	0.204715976307104
GSM2099115	CG	0.755791231192311	0.244208768807689	0.189918705140707
GSM2099116	CG	0.764654392764062	0.235345607235938	0.181055543568956
GSM2099117	CG	0.769522676805495	0.230477323194505	0.176187259527523
GSM2099118	CG	0.7104899352567	0.289510064743301	0.235220001076319
GSM2099119	CG	0.749931658812123	0.250068341187877	0.195778277520895
GSM2099120	CG	0.73130812054383	0.26869187945617	0.214401815789188
GSM2099121	CG	0.72623088081477	0.27376911918523	0.219479055518248
GSM2099122	CG	0.706032189864292	0.293967810135708	0.239677746468726
GSM2099123	CG	0.734090619319152	0.265909380680848	0.211619317013866
GSM2099124	CG	0.728160507152433	0.271839492847567	0.217549429180585
GSM2099125	CG	0.716196812658222	0.283803187341778	0.229513123674796
GSM2099126	CG	0.73389408967122	0.26610591032878	0.211815846661798
GSM2099127	CG	0.721153427787787	0.278846572212213	0.224556508545231
GSM2099128	CG	0.758372423481539	0.241627576518461	0.187337512851479
GSM2099129	CG	0.771329992898614	0.228670007101386	0.174379943434404
GSM2099130	CG	0.739147337284586	0.260852662715414	0.206562599048432
GSM2099131	CG	0.738078485104104	0.261921514895896	0.207631451228914
GSM2099132	CG	0.744571132449027	0.255428867550973	0.201138803883991
GSM2099133	CG	0.750859346100219	0.249140653899781	0.194850590232799
GSM2099134	CG	0.706958405529446	0.293041594470554	0.238751530803572
GSM2099135	CG	0.744977966134561	0.255022033865439	0.200731970198457
GSM2099136	CG	0.733123803285039	0.266876196714961	0.212586133047979
GSM2099137	CG	0.736895854474113	0.263104145525888	0.208814081858906
GSM2099138	CG	0.723735543132629	0.276264456867371	0.221974393200389
GSM2099139	CG	0.729168791688418	0.270831208311582	0.2165411446446
GSM2099140	CG	0.734113623862988	0.265886376137013	0.211596312470031
GSM2099141	CG	0.729461575498334	0.270538424501666	0.216248360834684
GSM2099142	CG	0.733245778903896	0.266754221096104	0.212464157429122
GSM2099143	CG	0.736592435128722	0.263407564871278	0.209117501204296
GSM2099144	CG	0.754708541517963	0.245291458482037	0.191001394815055
GSM2099145	CG	0.752012218886607	0.247987781113393	0.193697717446411
GSM2099146	CG	0.732236447692994	0.267763552307006	0.213473488640024
GSM2099147	CG	0.718035901313799	0.281964098686201	0.227674035019219
GSM2099148	CG	0.719078966132695	0.280921033867305	0.226630970200323
GSM2099149	CG	0.719368800199856	0.280631199800144	0.226341136133162
GSM2099151	CG	0.744314494806862	0.255685505193138	0.201395441526156
GSM2099152	CG	0.745988160896749	0.254011839103251	0.199721775436269
GSM2099153	CG	0.72982133357913	0.27017866642087	0.215888602753888
GSM2099154	CG	0.746110254419056	0.253889745580944	0.199599681913962
GSM2099155	CG	0.74553292642808	0.25446707357192	0.200177009904938
GSM2099156	CG	0.726856735869234	0.273143264130767	0.218853200463785
GSM2099157	CG	0.726027885474555	0.273972114525445	0.219682050858463
GSM2099158	CG	0.717965100877079	0.282034899122921	0.227744835455939
GSM2099159	CG	0.743950292477258	0.256049707522743	0.201759643855761
GSM2099160	CG	0.740654437114382	0.259345562885618	0.205055499218636
GSM2099161	CG	0.744060403650417	0.255939596349583	0.201649532682601
GSM2099162	CG	0.739166003981727	0.260833996018273	0.206543932351291
GSM2099163	CG	0.736413894716355	0.263586105283645	0.209296041616663
GSM2099164	CG	0.732225888243322	0.267774111756678	0.213484048089696
GSM2099165	CG	0.736761210399002	0.263238789600998	0.208948725934016
GSM2099166	CG	0.727146429234026	0.272853570765974	0.218563507098992
GSM2099167	CG	0.742781025947208	0.257218974052793	0.202928910385811
GSM2099168	CG	0.744164075013137	0.255835924986863	0.201545861319881
