Gene	P_Value	log	trait
X00289	0.195929629637253	0.707899882458944	289
X00290	0.207305609512719	0.683388946109423	290
X00291	0.891441022133339	0.0499073845237717	291
X00292	0.603256899592187	0.219497702261815	292
X00293	0.870765719411739	0.0600986767409222	293
X00294	0.434083905358499	0.362426316311892	294
X00295	0.123054874319045	0.909901178808496	295
X00296	0.0833222352924649	1.07923908771419	296
X00297	0.488723130791324	0.310937105749183	297
X00298	0.477701580624778	0.320843321715425	298
X00299	0.0256649708610458	1.59065922448306	299
X00300	0.0650560869452509	1.18671206262184	300
X00301	0.254365169744781	0.594542356951456	301
X00302	0.485539118917531	0.313775774106928	302
X00303	0.318967716642137	0.496253270528003	303
X00304	0.678515032344236	0.168440526203459	304
X00305	0.45516776955327	0.341828497932701	305
X00306	0.598741919952047	0.22276033436054	306
X00307	0.805977612849683	0.0936770211612574	307
X00308	0.755228388564134	0.121921693544428	308
X00309	0.812358728610176	0.0902521487730908	309
X00310	0.643010132266613	0.19178218360329	310
X00311	0.671630177439204	0.172869798536244	311
X00312	0.500504176161411	0.300592294455812	312
