line	Alpha	Alpha_SE	Beta	Beta_SE	condition	peak_genotype
RIL23	6.58786879337241	0.000110568196480854	0.00193034544068505	0.000327326958872071	All	peakLer
RIL25	7.75439965933639	0.00011553159422803	0.00285747275125564	0.000431842064868556	All	peakLer
RIL25	7.75439965933639	0.00011553159422803	0.00285747275125564	0.000431842064868556	All	peakLer
RIL27	11.6585457687212	0.000112959024974861	0.00440991275348067	0.000436729961432576	All	peakCvi
RIL27	11.6585457687212	0.000112959024974861	0.00440991275348067	0.000436729961432576	All	peakCvi
RIL29	5.90336542553675	0.000100413456875118	0.00206662118634498	0.000355606352109711	All	peakLer
RIL29	5.90336542553675	0.000100413456875118	0.00206662118634498	0.000355606352109711	All	peakLer
RIL36	5.55513538444883	7.42465725035049e-05	0.00166767319847938	0.000224822657634352	All	peakLer
RIL36	5.55513538444883	7.42465725035049e-05	0.00166767319847938	0.000224822657634352	All	peakLer
RIL37	8.19440472339252	7.84324371330362e-05	0.00286285202636313	0.000277930890822551	All	peakCvi
RIL37	8.19440472339252	7.84324371330362e-05	0.00286285202636313	0.000277930890822551	All	peakCvi
RIL4	9.41479772415329	0.000112205092991789	0.00346740144027407	0.000420538950947561	All	peakCvi
RIL4	9.41479772415329	0.000112205092991789	0.00346740144027407	0.000420538950947561	All	peakCvi
RIL50	15.2818441053449	0.000241020321718617	0.00522356897250559	0.000845463813880942	All	peakCvi
RIL50	15.2818441053449	0.000241020321718617	0.00522356897250559	0.000845463813880942	All	peakCvi
RIL54	5.21540375733595	0.000118935642289227	0.00191088608480365	0.000439932496980718	All	peakLer
RIL54	5.21540375733595	0.000118935642289227	0.00191088608480365	0.000439932496980718	All	peakLer
RIL55	9.73020890617286	9.01548235101013e-05	0.00371675183860426	0.000350664637728402	All	peakCvi
RIL55	9.73020890617286	9.01548235101013e-05	0.00371675183860426	0.000350664637728402	All	peakCvi
RIL58	2.59448604452995	8.19404950293054e-05	0.000958868079555816	0.000304184357572767	All	peakLer
RIL58	2.59448604452995	8.19404950293054e-05	0.000958868079555816	0.000304184357572767	All	peakLer
RIL59	6.92260872732158	3.75948733532182e-05	0.00199030817683269	0.000109241893904065	All	peakLer
RIL59	6.92260872732158	3.75948733532182e-05	0.00199030817683269	0.000109241893904065	All	peakLer
RIL6	10.9549933293347	0.000146411725812197	0.00326023398275161	0.00044319216225339	All	peakCvi
RIL6	10.9549933293347	0.000146411725812197	0.00326023398275161	0.00044319216225339	All	peakCvi
RIL61	4.963194699925	5.0523859823022e-05	0.00137780112897801	0.000141316888975482	All	peakLer
RIL61	4.963194699925	5.0523859823022e-05	0.00137780112897801	0.000141316888975482	All	peakLer
RIL63	12.6581432282078	0.000195185680314058	0.00482718800062415	0.000762093343283906	All	peakCvi
RIL63	12.6581432282078	0.000195185680314058	0.00482718800062415	0.000762093343283906	All	peakCvi
RIL65	7.6017676147338	0.000190303268241911	0.00246139032821907	0.000624296214545821	All	peakLer
RIL65	7.6017676147338	0.000190303268241911	0.00246139032821907	0.000624296214545821	All	peakLer
RIL68	6.07049501852227	4.84468012828143e-05	0.00204049423501064	0.000164551527192448	All	peakLer
RIL68	6.07049501852227	4.84468012828143e-05	0.00204049423501064	0.000164551527192448	All	peakLer
RIL7	11.9681653595075	6.28375257679203e-05	0.00597168457722171	0.000322180525417666	All	peakCvi
RIL7	11.9681653595075	6.28375257679203e-05	0.00597168457722171	0.000322180525417666	All	peakCvi
RIL70	7.28717281282536	7.55129143741826e-05	0.001934074216348	0.000202479751534249	All	peakLer
RIL70	7.28717281282536	7.55129143741826e-05	0.001934074216348	0.000202479751534249	All	peakLer
RIL71	5.11374873501234	5.78954923625626e-05	0.00159376246053188	0.000181935248871638	All	peakLer
RIL71	5.11374873501234	5.78954923625626e-05	0.00159376246053188	0.000181935248871638	All	peakLer
RIL72	8.24996759236654	0.000114599652854485	0.00349051181534049	0.000493186058571647	All	peakCvi
