line	Alpha	Alpha_SE	Beta	Beta_SE	condition	peak_genotype
RIL13	2.87241768858533	1.44645121081422e-05	0.00108302610940836	5.48334561001589e-05	All	peakLer
RIL132	2.84203436827295	1.3928313751998e-08	0.00108635845943343	5.35310410566724e-08	All	peakLer
RIL132	2.84203436827295	1.3928313751998e-08	0.00108635845943343	5.35310410566724e-08	All	peakLer
RIL133	2.14311282823462	2.23442476148372e-05	0.000781257276052017	8.1774270541162e-05	All	peakLer
RIL133	2.14311282823462	2.23442476148372e-05	0.000781257276052017	8.1774270541162e-05	All	peakLer
RIL135	2.81724952377844	2.08219349694468e-05	0.00102564016394109	7.61935078632902e-05	All	peakLer
RIL135	2.81724952377844	2.08219349694468e-05	0.00102564016394109	7.61935078632902e-05	All	peakLer
RIL136	3.76797901035334	4.78505155555821e-05	0.00163798946795584	0.000209709584806012	All	peakCvi
RIL136	3.76797901035334	4.78505155555821e-05	0.00163798946795584	0.000209709584806012	All	peakCvi
RIL140	1.56092729753006	4.29938377424564e-05	0.000709531362699042	0.000196111774232432	All	peakLer
RIL140	1.56092729753006	4.29938377424564e-05	0.000709531362699042	0.000196111774232432	All	peakLer
RIL142	2.21347666038656	3.64849990035421e-08	0.000856825745068484	1.41839242591311e-07	All	peakLer
RIL142	2.21347666038656	3.64849990035421e-08	0.000856825745068484	1.41839242591311e-07	All	peakLer
RIL143	3.22639237578535	3.92072305504763e-05	0.00137356360197929	0.000168037228207381	All	peakLer
RIL143	3.22639237578535	3.92072305504763e-05	0.00137356360197929	0.000168037228207381	All	peakLer
RIL146	2.02855140166542	2.14949193387626e-05	0.000701808279823019	7.46296735939104e-05	All	peakLer
RIL146	2.02855140166542	2.14949193387626e-05	0.000701808279823019	7.46296735939104e-05	All	peakLer
RIL147	3.42354054237067	3.46042832399153e-05	0.00138259316253752	0.000140709357752437	All	peakCvi
RIL147	3.42354054237067	3.46042832399153e-05	0.00138259316253752	0.000140709357752437	All	peakCvi
RIL149	1.37562613837835	4.45375808595316e-05	0.000492461497833377	0.000159836636122206	All	peakLer
RIL149	1.37562613837835	4.45375808595316e-05	0.000492461497833377	0.000159836636122206	All	peakLer
RIL15	3.98931974924269	4.51380107952074e-05	0.00206663363975739	0.000236118707371993	All	peakCvi
RIL15	3.98931974924269	4.51380107952074e-05	0.00206663363975739	0.000236118707371993	All	peakCvi
RIL150	1.22824633536992	5.94690852055384e-05	0.000480791510216214	0.000233353583996376	All	peakLer
RIL150	1.22824633536992	5.94690852055384e-05	0.000480791510216214	0.000233353583996376	All	peakLer
RIL151	2.97609444040369	2.15231263844033e-05	0.00108871355563212	7.91446028303466e-05	All	peakLer
RIL151	2.97609444040369	2.15231263844033e-05	0.00108871355563212	7.91446028303466e-05	All	peakLer
RIL153	2.55311112372316	4.15102725086336e-05	0.000911691411669322	0.000148929401941523	All	peakLer
RIL153	2.55311112372316	4.15102725086336e-05	0.000911691411669322	0.000148929401941523	All	peakLer
