,,,,,,,,,,,
Data_Type,Sample_name,Sample_id,Genotype (RIL_ID),Generation,Lineage,Sublineage,File_Name_Processed,Raw_File_Name_R1,Raw_File_Name_R2,Raw_File2_Name_R1,Raw_File2_Name_R2
WGBS,RIL23_G09_L01_1,RIL23_G09_L01_1_S128_L002,RIL23,9,1,1,methylome_RIL23_G09_L01_1_All.txt,RIL23_G09_L01_1_S128_L002_1.fastq.gz,RIL23_G09_L01_1_S128_L002_2.fastq.gz,,
WGBS,RIL23_G09_L01_2,RIL23_G09_L01_2_S79_L002,RIL23,9,1,2,methylome_RIL23_G09_L01_2_All.txt,RIL23_G09_L01_2_S79_L002_1.fastq.gz,RIL23_G09_L01_2_S79_L002_2.fastq.gz,,
WGBS,RIL23_G02_L02_4,RIL23_G02_L02_4_S50_L001,RIL23,2,2,4,methylome_RIL23_G02_L02_4_All.txt,RIL23_G02_L02_4_S50_L001_1.fastq.gz,RIL23_G02_L02_4_S50_L001_2.fastq.gz,,
WGBS,RIL25_G02_L01_3,RIL25_G02_L01_3_S132_L003,RIL25,2,1,3,methylome_RIL25_G02_L01_3_All.txt,RIL25_G02_L01_3_S132_L003_1.fastq.gz,RIL25_G02_L01_3_S132_L003_2.fastq.gz,,
WGBS,RIL25_G02_L01_4,RIL25_G02_L01_4_S144_L004,RIL25,2,1,4,methylome_RIL25_G02_L01_4_All.txt,RIL25_G02_L01_4_S144_L004_1.fastq.gz,RIL25_G02_L01_4_S144_L004_2.fastq.gz,,
WGBS,RIL25_G09_L02_1,RIL25_G09_L02_1_S62_L002,RIL25,9,2,1,methylome_RIL25_G09_L02_1_All.txt,RIL25_G09_L02_1_S62_L002_1.fastq.gz,RIL25_G09_L02_1_S62_L002_2.fastq.gz,,
WGBS,RIL27_G02_L01_3,RIL27_G02_L01_3_S61_L001,RIL27,2,1,3,methylome_RIL27_G02_L01_3_All.txt,RIL27_G02_L01_3_S61_L001_1.fastq.gz,RIL27_G02_L01_3_S61_L001_2.fastq.gz,,
WGBS,RIL27_G02_L01_4,RIL27_G02_L01_4_S129_L002,RIL27,2,1,4,methylome_RIL27_G02_L01_4_All.txt,RIL27_G02_L01_4_S129_L002_1.fastq.gz,RIL27_G02_L01_4_S129_L002_2.fastq.gz,,
WGBS,RIL27_G02_L02_3,RIL27_G02_L02_3_S59_L001,RIL27,2,2,3,methylome_RIL27_G02_L02_3_All.txt,RIL27_G02_L02_3_S59_L001_1.fastq.gz,RIL27_G02_L02_3_S59_L001_2.fastq.gz,,
WGBS,RIL27_G09_L01_2,RIL27_G09_L01_2_S47_L001,RIL27,9,1,2,methylome_RIL27_G09_L01_2_All.txt,RIL27_G09_L01_2_S47_L001_1.fastq.gz,RIL27_G09_L01_2_S47_L001_2.fastq.gz,,
WGBS,RIL27_G09_L02_2,RIL27_G09_L02_2_S188_L004,RIL27,9,2,2,methylome_RIL27_G09_L02_2_All.txt,RIL27_G09_L02_2_S188_L004_1.fastq.gz,RIL27_G09_L02_2_S188_L004_2.fastq.gz,,
WGBS,RIL29_G02_L02_4,RIL29_G02_L02_4_S135_L003,RIL29,2,2,4,methylome_RIL29_G02_L02_4_All.txt,RIL29_G02_L02_4_S135_L003_1.fastq.gz,RIL29_G02_L02_4_S135_L003_2.fastq.gz,,
WGBS,RIL29_G09_L02_2,RIL29_G09_L02_2_S136_L003,RIL29,9,2,2,methylome_RIL29_G09_L02_2_All.txt,RIL29_G09_L02_2_S136_L003_1.fastq.gz,RIL29_G09_L02_2_S136_L003_2.fastq.gz,,
WGBS,RIL29_G02_L02_3,RIL29_G02_L02_3_S46_L001,RIL29,2,2,3,methylome_RIL29_G02_L02_3_All.txt,RIL29_G02_L02_3_S46_L001_1.fastq.gz,RIL29_G02_L02_3_S46_L001_2.fastq.gz,,
WGBS,RIL36_G02_L01_4,RIL36_G02_L01_4_S149_L004,RIL36,2,1,4,methylome_RIL36_G02_L01_4_All.txt,RIL36_G02_L01_4_S149_L004_1.fastq.gz,RIL36_G02_L01_4_S149_L004_2.fastq.gz,,
